Start Optimization 
Loss: 0.222056  SIA Ef: 0.469090 Binding: 1.62 1.42 -0.58 2.70 3.88 -0.12 -2.75 -2.39 0.59 -1.72 -1.90  Rvol: 0.40 1.33 1.31 -0.33 0.28 0.62 1.18 0.14 0.90 0.94 1.27 -0.28 0.10 0.64 1.20 
Loss: 10.864435  SIA Ef: -3.294349 Binding: 1.05 1.31 -2.77 3.58 3.44 -0.22 -1.80 -1.99 2.46 -1.35 -0.98  Rvol: 0.25 1.06 0.81 -0.33 0.31 0.14 0.91 0.14 0.80 0.76 0.72 -0.28 0.06 0.16 0.96 
Loss: 0.222056  SIA Ef: 0.469090 Binding: 1.62 1.42 -0.58 2.70 3.88 -0.02 -2.48 -2.12 0.53 -1.50 -1.66  Rvol: 0.40 1.33 1.31 -0.33 0.28 0.62 1.18 0.14 0.89 0.93 1.29 -0.28 0.08 0.63 1.17 
Loss: 16.681715  SIA Ef: 4.078866 Binding: 1.66 1.71 1.37 2.65 3.48 0.01 -2.34 -1.66 -0.55 -1.56 -1.95  Rvol: 0.57 1.48 1.81 -0.33 0.26 0.80 1.31 0.14 0.98 1.39 2.02 -0.28 0.29 0.87 1.48 
Loss: 0.222056  SIA Ef: 0.469090 Binding: 1.62 1.42 -0.58 2.70 3.88 0.00 -2.50 -2.04 0.63 -1.47 -1.56  Rvol: 0.40 1.33 1.31 -0.33 0.28 0.62 1.18 0.14 0.90 0.94 1.27 -0.28 0.09 0.64 1.19 
Loss: 10.959693  SIA Ef: -3.308762 Binding: 1.09 1.29 -2.72 3.55 3.46 -0.21 -1.84 -2.00 2.42 -1.35 -0.99  Rvol: 0.25 1.08 0.82 -0.33 0.30 0.14 0.91 0.14 0.80 0.76 0.73 -0.28 0.06 0.17 0.95 
Loss: 0.222056  SIA Ef: 0.469090 Binding: 1.51 1.19 -0.58 2.60 3.64 -0.00 -2.47 -2.06 0.62 -1.47 -1.54  Rvol: 0.40 1.33 1.32 -0.33 0.28 0.60 1.15 0.14 0.90 0.93 1.28 -0.28 0.09 0.61 1.17 
Loss: 16.680605  SIA Ef: 4.078730 Binding: 1.66 1.71 1.37 2.65 3.48 0.01 -2.34 -1.66 -0.55 -1.56 -1.95  Rvol: 0.57 1.48 1.81 -0.33 0.26 0.80 1.31 0.14 0.98 1.39 2.02 -0.28 0.29 0.87 1.48 
Loss: 0.222056  SIA Ef: 0.469090 Binding: 1.60 1.39 -0.58 2.66 3.85 -0.00 -2.46 -2.06 0.62 -1.49 -1.63  Rvol: 0.40 1.33 1.31 -0.33 0.28 0.64 1.21 0.14 0.90 1.04 1.29 -0.28 0.09 0.66 1.20 
Loss: 16.680605  SIA Ef: 4.078730 Binding: 1.66 1.71 1.37 2.65 3.48 0.01 -2.34 -1.66 -0.55 -1.56 -1.95  Rvol: 0.57 1.48 1.81 -0.33 0.26 0.80 1.31 0.14 0.98 1.39 2.02 -0.28 0.29 0.87 1.48 
Loss: 0.222056  SIA Ef: 0.469090 Binding: 1.63 1.43 -0.58 2.71 3.89 -0.00 -2.48 -2.06 0.62 -1.48 -1.58  Rvol: 0.40 1.33 1.31 -0.33 0.28 0.61 1.17 0.14 0.90 0.93 1.27 -0.28 0.09 0.63 1.19 
Loss: 16.680605  SIA Ef: 4.078730 Binding: 1.66 1.71 1.37 2.65 3.48 0.01 -2.34 -1.66 -0.55 -1.56 -1.95  Rvol: 0.57 1.48 1.81 -0.33 0.26 0.80 1.31 0.14 0.98 1.39 2.02 -0.28 0.29 0.87 1.48 
Loss: 5.284183  SIA Ef: 2.295540 Binding: 1.68 1.56 0.40 2.63 3.71 0.01 -2.48 -1.94 -0.11 -1.53 -1.81  Rvol: 0.48 1.40 1.54 -0.33 0.27 0.75 1.23 0.14 0.94 1.16 1.61 -0.28 0.14 0.80 1.33 
Loss: 0.253260  SIA Ef: 0.501772 Binding: 1.51 1.33 -1.17 2.79 3.81 -0.04 -2.40 -2.04 1.07 -1.44 -1.43  Rvol: 0.40 1.32 1.28 -0.33 0.28 0.54 1.19 0.14 0.88 0.90 1.22 -0.28 0.10 0.53 1.19 
Loss: 1.954805  SIA Ef: -1.397636 Binding: 1.50 1.30 -1.56 2.97 3.84 -0.06 -2.26 -2.06 1.44 -1.40 -1.33  Rvol: 0.32 1.25 1.09 -0.33 0.29 0.35 1.10 0.14 0.86 0.96 1.00 -0.28 0.08 0.36 1.07 
Loss: 0.223817  SIA Ef: 0.470957 Binding: 1.62 1.42 -0.58 2.70 3.88 -0.01 -2.49 -2.06 0.62 -1.48 -1.58  Rvol: 0.40 1.33 1.31 -0.33 0.28 0.62 1.18 0.14 0.90 0.93 1.27 -0.28 0.09 0.63 1.19 
