Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
161.979076 -7.60 -13.67 -2.82 -12.86 -7.51 -13.90 -6.08 -12.58 0.15 0.21 -0.05 0.60 0.41 0.71 -0.01 0.29 
163.485340 -7.54 -13.51 -2.77 -12.76 -7.43 -13.74 -6.01 -12.45 0.15 0.21 -0.05 0.61 0.41 0.72 -0.01 0.29 
137.888807 -13.70 -25.96 -7.70 -24.19 -13.42 -24.40 -11.35 -23.06 0.04 0.31 -0.30 0.36 0.31 0.59 -0.18 0.30 
53.005210 -7.91 -13.32 -2.81 -13.30 -7.50 -13.02 -6.83 -13.00 0.15 0.24 0.08 0.13 0.46 0.75 -0.06 0.25 
111.010620 -8.80 -15.79 -2.80 -15.77 -8.31 -14.31 -6.93 -15.46 0.34 0.68 0.02 0.42 0.48 0.86 0.05 0.48 
77.637181 6.10 14.17 2.03 7.12 6.86 13.89 2.19 8.28 0.96 1.81 0.11 0.44 1.08 2.21 0.16 0.74 
51.584809 -7.91 -13.32 -2.81 -13.30 -6.75 -12.33 -6.41 -12.43 0.15 0.24 0.08 0.13 0.43 0.62 -0.06 0.41 
49.225906 -7.91 -13.32 -2.81 -13.30 -6.41 -10.74 -5.69 -10.73 0.15 0.24 0.08 0.13 0.46 0.75 -0.06 0.26 
49.567127 -7.91 -13.32 -2.81 -13.30 -6.48 -10.99 -5.80 -10.97 0.15 0.24 0.08 0.13 0.46 0.75 -0.06 0.24 
42.649795 -7.91 -14.33 -2.81 -14.46 -6.41 -10.93 -5.69 -10.85 0.15 0.56 0.08 0.03 0.46 0.76 -0.06 0.15 
122.889529 -7.91 -12.19 -2.81 -13.43 -6.41 -10.75 -5.69 -10.79 0.15 0.24 0.08 0.49 0.46 0.66 -0.06 0.37 
47.579178 -7.91 -13.85 -2.81 -14.25 -6.41 -10.08 -5.69 -10.08 0.15 0.55 0.08 0.11 0.46 0.81 -0.06 0.13 
62.768472 -8.44 -14.53 -8.87 -17.83 -7.17 -12.28 -8.38 -14.71 0.11 0.23 0.25 0.08 0.52 0.90 0.14 0.19 
43.069990 -8.09 -14.65 -2.89 -14.74 -6.59 -11.26 -5.83 -11.13 0.14 0.55 0.08 0.02 0.46 0.75 -0.07 0.14 
125.322587 -16.56 -31.74 -11.41 -29.09 -14.70 -26.97 -13.00 -25.98 -0.05 0.16 -0.30 0.15 0.28 0.14 -0.23 0.08 
46.390091 -6.82 -12.34 -2.34 -13.91 -5.56 -10.46 -5.01 -10.50 0.12 0.40 0.08 0.12 0.43 0.68 -0.07 -0.02 
55.897766 -7.75 -14.26 -2.56 -13.16 -6.04 -10.65 -5.06 -10.70 0.21 0.63 0.08 0.19 0.48 0.70 0.04 0.28 
42.023730 -7.69 -13.88 -2.72 -14.11 -5.98 -10.26 -5.32 -10.13 0.16 0.57 0.08 0.05 0.46 0.76 -0.07 0.16 
73.550141 0.08 0.85 -0.10 0.34 1.69 4.48 0.79 3.52 0.51 1.09 0.10 0.43 0.67 1.38 0.07 0.64 
