Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
65.106773 21.51 41.50 16.45 33.29 20.93 38.94 16.53 32.11 0.57 1.54 -0.57 -0.25 0.94 1.76 -0.35 0.00 
64.982985 21.57 41.57 16.51 33.36 20.99 39.02 16.59 32.18 0.58 1.55 -0.56 -0.25 0.94 1.77 -0.35 0.01 
23.173520 13.50 26.24 10.28 20.47 13.87 24.94 10.66 19.84 0.98 1.70 -0.23 0.10 1.08 2.14 -0.03 0.41 
108.228593 18.12 33.82 10.77 23.18 18.31 32.93 11.36 22.80 1.19 2.18 0.02 0.46 1.38 2.32 0.20 0.65 
609.775385 14.58 26.58 19.20 28.24 13.65 25.59 14.10 26.05 0.93 1.95 -0.12 1.38 1.17 2.24 0.49 1.57 
78.393503 22.69 42.66 13.56 31.23 22.23 40.34 14.29 31.38 1.66 2.84 -0.15 0.14 1.66 3.06 -0.02 0.31 
23.191614 13.50 26.24 10.28 20.47 13.55 25.89 10.67 19.64 0.98 1.70 -0.23 0.10 1.07 1.98 -0.03 0.41 
24.939214 13.50 26.24 10.28 20.47 14.72 26.66 11.52 21.81 0.98 1.70 -0.23 0.10 1.11 2.11 -0.02 0.41 
23.109633 13.50 26.24 10.28 20.47 13.94 24.68 10.59 19.83 0.98 1.70 -0.23 0.10 1.07 2.08 -0.03 0.40 
23.874557 13.50 26.24 10.28 21.52 13.94 24.47 10.59 20.88 0.98 1.84 -0.23 0.09 1.07 2.08 -0.03 0.40 
21.403551 13.50 26.08 10.28 20.25 13.94 25.60 10.59 19.62 0.98 1.69 -0.23 0.08 1.07 1.89 -0.03 0.37 
22.115778 13.50 26.15 10.28 20.34 13.94 25.67 10.59 19.70 0.98 1.69 -0.23 0.08 1.07 1.89 -0.03 0.38 
10.641606 8.44 12.83 -1.81 -0.13 7.41 12.73 -1.16 -0.06 1.05 1.73 -0.20 -0.06 1.20 1.79 -0.06 0.08 
