Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
99158836987858.281250 12.50 17.00 5.80 8.58 10.22 -56029590.39 4.53 -70995042.77 0.21 1.97 -0.24 0.55 0.49 2998698.34 -0.20 3351070.17 
99158894570830.140625 12.56 17.01 5.85 8.59 10.30 -56029594.39 4.61 -70995067.75 0.21 1.98 -0.24 0.55 0.49 2998698.48 -0.19 3351071.08 
11.795372 4.11 5.07 -0.40 -2.86 2.74 4.02 -1.27 -4.40 -0.13 0.95 -0.27 -0.14 0.48 0.77 -0.15 -0.11 
35.303532 8.12 8.53 -0.58 -2.06 6.28 6.99 -1.31 -3.51 0.28 1.74 0.02 0.24 0.67 1.82 0.14 0.32 
37.600211 5.61 9.48 7.50 6.23 4.48 7.73 4.13 4.38 -0.20 0.07 -0.25 -0.41 0.36 0.12 -0.30 -0.45 
31.110333 16.50 27.52 4.76 13.26 14.70 26.49 4.21 11.96 0.75 1.70 -0.37 -0.33 1.12 1.92 -0.21 -0.22 
10.396543 4.11 5.07 -0.40 -2.86 3.64 5.85 -0.31 -2.61 -0.13 0.95 -0.27 -0.14 0.48 0.86 -0.12 -0.08 
10.260136 4.11 5.07 -0.40 -2.86 3.76 6.04 -0.28 -2.33 -0.13 0.95 -0.27 -0.14 0.47 0.69 -0.16 -0.12 
10.268124 4.11 5.07 -0.40 -2.86 3.75 6.04 -0.27 -2.37 -0.13 0.95 -0.27 -0.14 0.47 0.73 -0.15 -0.11 
9.362598 4.11 6.24 -0.40 -1.81 3.76 6.61 -0.28 -1.29 -0.13 0.84 -0.27 -0.14 0.47 0.90 -0.16 -0.12 
8.768744 4.11 5.95 -0.40 -2.05 3.76 6.96 -0.28 -1.52 -0.13 0.99 -0.27 -0.11 0.47 0.75 -0.16 -0.09 
8.913529 4.11 6.02 -0.40 -1.95 3.76 7.02 -0.28 -1.42 -0.13 0.98 -0.27 -0.12 0.47 0.71 -0.16 -0.10 
52.599227 -3.25 -8.08 -5.90 -12.90 -2.66 -5.87 -5.42 -11.48 0.15 0.85 -0.05 0.21 0.61 1.01 0.03 0.27 
8.927278 4.08 5.91 -0.42 -2.08 3.72 6.90 -0.32 -1.57 -0.13 0.99 -0.27 -0.12 0.47 0.74 -0.16 -0.10 
34778679061904.031250 3.07 0.62 -2.48 -6.69 1.89 -42115811.94 -2.70 -38263644.59 -0.18 1.30 -0.42 -0.14 0.27 2234702.04 -0.36 2215997.60 
16.879911 4.54 4.00 -4.05 -7.24 3.96 4.31 -3.78 -6.61 0.14 1.20 -0.20 -0.14 0.50 1.39 -0.10 -0.09 
42.516822 8.67 14.81 7.15 9.02 8.38 15.59 6.34 9.46 -0.06 1.41 0.08 0.31 0.65 1.17 -0.17 0.27 
33.899420 16.50 28.19 4.76 13.83 15.73 30.71 5.14 14.53 0.75 1.64 -0.37 -0.34 1.13 2.18 -0.22 -0.24 
18.548348 2.86 2.71 -0.72 -3.77 2.15 3.63 -0.89 -3.30 -0.30 1.03 -0.36 -0.21 0.34 0.45 -0.27 -0.33 
8.098188 4.30 6.34 -0.31 -1.80 4.20 7.81 0.07 -0.77 -0.12 0.97 -0.27 -0.12 0.48 0.79 -0.16 -0.08 
14.437179 11.01 18.82 2.68 7.12 11.08 19.52 3.14 8.13 0.25 1.16 -0.41 -0.26 0.56 1.34 -0.27 -0.21 
8.116552 4.29 6.33 -0.32 -1.80 4.20 7.79 0.05 -0.77 -0.12 0.97 -0.27 -0.12 0.47 0.76 -0.17 -0.10 
26.903591 -0.99 -3.41 -4.04 -9.34 -0.44 -1.05 -3.49 -7.90 -0.07 0.44 -0.28 -0.20 0.51 0.53 -0.16 -0.11 
8.096418 4.30 6.34 -0.31 -1.79 4.21 7.81 0.07 -0.76 -0.12 0.97 -0.27 -0.12 0.47 0.78 -0.17 -0.09 
5.709860 6.57 10.78 4.45 5.03 6.44 12.19 4.34 5.99 -0.16 1.18 -0.13 0.04 0.53 0.87 -0.24 -0.01 
4.334817 6.50 10.94 4.39 5.19 6.38 12.54 4.29 6.14 -0.16 1.18 -0.13 0.02 0.53 0.72 -0.24 -0.04 
82.371565 1.54 2.76 3.60 -0.85 2.24 3.63 1.14 0.29 -0.14 -0.03 -0.08 -0.58 0.49 0.28 -0.27 -0.57 
7.622795 6.48 10.87 4.38 5.13 6.36 12.32 4.27 6.09 -0.16 1.18 -0.13 0.07 0.53 0.81 -0.24 0.01 
19084499019500.542969 7.56 11.58 5.45 5.75 7.02 -20633136.38 4.83 -32413862.01 -0.14 1.50 -0.12 0.49 0.47 1444530.03 -0.30 1816581.63 
5.936541 6.50 10.93 4.38 5.17 6.38 12.53 4.28 6.12 -0.16 1.18 -0.13 0.05 0.53 0.73 -0.23 -0.01 
