Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
37.837300 -2.88 -6.44 -2.59 -8.75 -2.98 -6.95 -4.20 -9.16 0.12 0.16 -0.30 -0.28 0.44 0.66 -0.22 -0.17 
37.016396 -2.82 -6.32 -2.53 -8.65 -2.91 -6.82 -4.15 -9.06 0.13 0.17 -0.29 -0.27 0.45 0.66 -0.22 -0.16 
52.239816 1.87 1.35 -2.31 -5.41 1.63 1.78 -2.08 -5.51 0.32 0.99 0.01 0.31 0.74 1.17 0.19 0.44 
18.185027 -2.53 -6.51 2.42 -4.85 -2.78 -6.73 -2.83 -6.09 0.20 0.43 -0.20 -0.10 0.48 0.69 -0.06 0.02 
86.079898 12.14 22.45 13.13 22.03 12.05 22.17 11.68 21.15 0.81 1.54 -0.25 0.44 0.96 1.86 0.21 0.68 
18.657374 -2.53 -6.51 2.42 -4.85 -2.97 -7.80 -3.02 -6.07 0.20 0.43 -0.20 -0.10 0.45 0.53 -0.02 0.02 
16.212549 -2.53 -6.51 2.42 -4.85 -2.05 -5.19 -1.78 -4.38 0.20 0.43 -0.20 -0.10 0.50 0.73 -0.07 0.01 
16.404053 -2.53 -6.51 2.42 -4.85 -2.17 -5.46 -1.76 -4.61 0.20 0.43 -0.20 -0.10 0.50 0.74 -0.09 -0.00 
16.557006 -2.53 -6.81 2.42 -5.21 -2.05 -5.49 -1.78 -4.74 0.20 0.53 -0.20 -0.10 0.50 0.76 -0.07 0.01 
14.845701 -2.53 -5.04 2.42 -4.02 -2.05 -4.09 -1.78 -3.58 0.20 0.33 -0.20 -0.09 0.50 0.71 -0.07 -0.02 
14.674370 -2.53 -5.20 2.42 -3.39 -2.05 -3.95 -1.78 -2.90 0.20 0.33 -0.20 -0.11 0.50 0.62 -0.07 0.00 
390.140583 -20.90 -41.50 -11.83 -42.01 -19.82 -40.57 -18.33 -41.44 0.36 -0.27 -0.61 -0.91 0.41 -0.22 -0.53 -0.86 
14.007701 -2.40 -4.94 2.51 -3.15 -1.92 -3.69 -1.66 -2.65 0.21 0.34 -0.20 -0.10 0.50 0.63 -0.07 0.01 
62.941194 12.09 23.24 13.62 23.06 12.69 24.65 12.68 23.91 0.80 1.50 -0.27 0.34 0.99 1.79 0.18 0.54 
6.974238 0.31 0.19 4.00 0.88 0.88 1.86 0.56 1.59 0.25 0.43 -0.13 -0.01 0.56 0.74 -0.02 0.10 
7.641427 2.58 4.36 5.06 3.67 3.22 6.53 2.27 4.41 0.29 0.53 -0.04 0.07 0.64 0.61 0.00 0.18 
7.292548 0.31 0.19 3.94 0.85 0.54 1.04 0.55 0.99 0.25 0.43 -0.13 -0.01 0.57 0.65 -0.05 0.04 
17.044803 -0.17 -1.83 -2.18 -6.15 0.42 0.64 -1.80 -4.85 0.23 0.77 -0.16 0.04 0.66 0.72 -0.06 0.19 
9.202644 -0.80 -2.19 3.30 -1.26 -0.20 -0.63 -0.42 -0.64 0.23 0.38 -0.15 -0.06 0.53 0.61 -0.03 0.06 
109.295986 9.77 17.91 10.74 15.43 10.28 19.57 8.79 16.26 0.54 1.36 0.12 0.54 0.89 1.38 0.13 0.66 
