Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
16.149817 3.76 6.24 7.20 5.68 3.70 4.93 2.26 4.41 0.39 0.63 0.02 0.16 0.62 0.77 0.13 0.32 
16.680766 3.82 6.35 7.25 5.78 3.76 5.08 2.31 4.51 0.39 0.63 0.02 0.16 0.62 0.76 0.13 0.32 
157.188942 9.18 15.83 9.70 12.53 9.13 14.45 6.34 11.63 0.48 1.07 0.34 0.67 0.89 1.17 0.30 0.71 
71.267585 2.19 3.77 8.36 1.83 2.47 1.53 1.33 0.09 0.90 0.96 0.04 0.42 0.75 0.95 0.08 0.53 
251.923194 18.49 35.39 17.57 31.30 18.33 34.10 16.51 30.23 0.97 1.85 0.11 0.80 1.20 2.01 0.41 1.00 
16.321137 3.76 6.24 7.20 5.68 3.40 4.53 1.99 4.18 0.39 0.63 0.02 0.16 0.58 0.70 0.16 0.32 
15.478287 3.76 6.24 7.20 5.68 4.67 7.76 3.32 6.16 0.39 0.63 0.02 0.16 0.53 0.80 0.13 0.30 
15.495333 3.76 6.24 7.20 5.68 4.49 7.80 3.42 5.92 0.39 0.63 0.02 0.16 0.64 0.81 0.07 0.30 
12.211154 3.76 6.96 7.20 5.32 4.67 8.32 3.32 5.81 0.39 0.63 0.02 0.13 0.53 0.76 0.13 0.30 
14.666979 3.76 7.35 7.20 6.19 4.67 8.90 3.32 6.72 0.39 0.63 0.02 0.15 0.53 0.80 0.13 0.27 
19.018490 3.76 6.84 7.20 5.71 4.67 8.20 3.32 6.21 0.39 0.63 0.02 0.19 0.53 0.77 0.13 0.31 
200.479391 -13.71 -27.21 -7.23 -28.92 -12.97 -25.75 -12.03 -28.51 0.18 -0.20 -0.44 -0.66 0.41 -0.16 -0.27 -0.45 
15.726605 4.08 7.25 6.59 4.52 4.96 8.60 3.22 5.08 0.38 0.61 0.12 0.15 0.56 0.80 0.13 0.27 
12.111112 3.74 6.93 7.20 5.30 4.65 8.27 3.30 5.78 0.39 0.63 0.02 0.13 0.53 0.76 0.13 0.30 
26.091069 2.19 4.02 6.54 2.11 2.98 4.98 2.25 2.36 0.50 0.74 -0.04 0.22 0.75 0.82 0.10 0.42 
12.195194 3.74 6.93 7.20 5.30 4.41 7.77 3.36 5.49 0.39 0.63 0.02 0.13 0.52 0.77 0.11 0.24 
168.874475 11.96 22.97 14.56 19.69 12.32 23.69 11.03 21.23 0.60 1.36 0.16 0.68 0.93 1.61 0.27 0.72 
11.974984 3.73 6.90 7.19 5.27 4.65 8.20 3.56 6.02 0.39 0.63 0.02 0.13 0.53 0.77 0.13 0.24 
47.352036 -4.97 -10.18 -0.28 -11.70 -4.15 -8.87 -4.25 -10.99 0.21 0.15 -0.21 -0.31 0.45 0.29 -0.03 -0.06 
11.981711 3.73 6.90 7.19 5.27 4.65 8.18 3.49 6.08 0.39 0.63 0.02 0.13 0.53 0.77 0.17 0.23 
153.764492 11.56 21.95 13.41 18.66 12.00 23.04 10.82 20.38 0.59 1.47 0.15 0.65 0.91 1.58 0.23 0.64 
12.898965 3.65 6.91 7.27 5.05 4.57 8.14 3.51 5.80 0.40 0.63 0.02 0.14 0.53 0.77 0.14 0.24 
25.838355 2.19 4.00 6.53 2.15 2.98 5.03 2.51 2.78 0.50 0.74 -0.04 0.22 0.77 0.82 0.11 0.38 
12.438683 3.78 6.84 7.10 4.92 4.70 8.10 3.55 5.68 0.39 0.62 0.03 0.13 0.53 0.76 0.13 0.24 
15.205372 4.03 7.25 6.61 4.69 4.89 8.54 3.50 5.48 0.38 0.61 0.11 0.15 0.56 0.80 0.12 0.23 
13.182288 3.63 6.68 7.13 5.20 4.55 7.98 3.47 5.94 0.39 0.62 0.02 0.14 0.53 0.76 0.13 0.24 
