Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
13.926832 3.13 3.59 7.15 5.47 3.66 5.61 3.99 7.62 0.38 0.90 -0.12 0.15 0.67 1.13 0.07 0.34 
14.313483 3.19 3.72 7.20 5.58 3.73 5.74 4.04 7.72 0.38 0.91 -0.11 0.15 0.68 1.13 0.07 0.34 
81.697537 8.62 15.12 11.10 12.48 9.38 16.75 8.30 14.93 0.50 1.15 0.00 0.47 0.81 1.35 0.13 0.54 
56.735698 2.24 0.29 6.15 3.76 1.83 2.22 2.69 4.20 0.57 1.11 0.12 0.37 0.80 1.26 0.17 0.55 
172.874438 16.72 31.72 15.34 29.14 18.09 33.40 16.53 30.48 1.12 2.02 -0.35 0.62 1.25 2.32 -0.07 0.94 
13.947299 3.13 3.59 7.15 5.47 3.83 5.28 3.81 7.78 0.38 0.90 -0.12 0.15 0.66 1.01 0.11 0.34 
13.756760 3.13 3.59 7.15 5.47 4.16 6.46 5.01 8.84 0.38 0.90 -0.12 0.15 0.68 1.08 0.05 0.19 
13.774937 3.13 3.59 7.15 5.47 4.07 6.32 4.96 8.63 0.38 0.90 -0.12 0.15 0.68 1.09 0.03 0.22 
14.766848 3.13 3.37 7.15 5.33 4.16 6.24 5.01 8.50 0.38 0.93 -0.12 0.16 0.68 1.10 0.05 0.20 
12.345443 3.13 4.68 7.15 6.62 4.16 7.52 5.01 9.83 0.38 0.90 -0.12 0.14 0.68 1.08 0.05 0.20 
12.220546 3.13 4.75 7.15 6.68 4.16 7.63 5.01 10.20 0.38 0.85 -0.12 0.14 0.68 1.05 0.05 0.18 
159.475225 -13.35 -27.56 -7.53 -24.57 -11.67 -24.52 -10.60 -22.24 -0.04 -0.18 -0.51 -0.56 0.05 -0.19 -0.33 -0.46 
23.047750 4.39 7.85 7.41 7.22 5.56 10.36 5.73 10.99 0.37 0.83 -0.07 0.22 0.70 1.11 0.04 0.22 
12.128097 3.11 4.71 7.15 6.69 4.14 7.59 5.00 10.18 0.38 0.85 -0.12 0.14 0.68 1.04 0.05 0.18 
47.006440 1.81 1.69 7.92 5.46 2.52 4.59 3.65 7.75 0.44 0.86 -0.20 0.34 0.67 1.02 0.08 0.34 
12.159303 3.11 4.72 7.15 6.69 3.93 7.15 4.97 9.78 0.38 0.85 -0.12 0.14 0.68 1.04 0.03 0.15 
40.677761 10.08 18.89 11.73 18.89 11.44 21.69 11.72 21.26 0.71 1.36 -0.29 0.26 0.91 1.59 0.07 0.38 
12.097683 3.10 4.71 7.14 6.68 4.20 7.67 5.23 10.32 0.38 0.85 -0.12 0.14 0.68 1.03 0.04 0.14 
20.205497 -2.84 -6.66 1.33 -4.84 -1.59 -3.72 -0.57 -1.23 0.16 0.39 -0.24 -0.21 0.48 0.60 -0.13 -0.20 
12.099463 3.11 4.71 7.14 6.68 4.21 7.70 5.24 10.36 0.38 0.85 -0.12 0.14 0.68 1.03 0.05 0.14 
18.475428 3.91 6.96 6.75 6.05 5.15 9.51 5.46 10.02 0.34 0.77 -0.08 0.19 0.68 1.07 0.00 0.16 
12.080930 3.10 4.71 7.14 6.66 4.19 7.67 5.23 10.38 0.38 0.83 -0.12 0.14 0.68 1.02 0.04 0.15 
18.946759 -1.49 -4.66 3.91 -1.14 -0.59 -1.66 0.73 1.40 0.35 0.61 -0.22 0.13 0.56 0.72 -0.01 0.14 
12.896877 3.19 5.17 7.23 7.08 4.28 8.11 5.32 10.82 0.38 0.84 -0.12 0.14 0.68 1.02 0.04 0.15 
75.114491 9.49 17.32 12.89 18.22 10.74 20.27 11.73 21.54 0.68 1.33 -0.44 0.42 0.92 1.54 0.14 0.32 
11.552372 3.10 4.73 7.14 6.69 4.20 7.70 5.23 10.45 0.38 0.83 -0.12 0.13 0.68 1.02 0.04 0.14 
15.753358 3.49 6.22 6.63 5.81 4.73 8.74 5.09 9.51 0.34 0.64 -0.08 0.17 0.67 1.02 0.01 0.15 
5.214169 1.60 1.75 5.48 3.44 2.74 4.70 3.74 7.29 0.32 0.71 -0.14 0.04 0.62 0.91 -0.01 0.04 
36.824986 -4.87 -10.57 -0.08 -7.68 -3.56 -7.61 -2.48 -4.94 0.11 0.16 -0.28 -0.29 0.42 0.38 -0.16 -0.28 
