Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
3.623370 3.06 5.82 1.83 2.05 3.32 7.35 1.74 2.33 0.41 0.80 -0.29 -0.11 0.65 0.93 -0.14 0.06 
2.098962 5.14 9.85 2.35 3.85 5.48 10.99 2.57 4.20 0.51 0.90 -0.23 -0.01 0.77 1.10 -0.07 0.18 
2.466582 5.05 9.48 1.37 2.41 5.54 10.77 1.90 3.14 0.53 0.96 -0.23 -0.03 0.78 1.12 -0.07 0.18 
4.013398 3.70 6.65 1.76 1.98 3.94 8.24 1.78 2.29 0.42 0.85 -0.22 0.01 0.71 0.96 -0.08 0.18 
2.979574 6.07 11.09 0.82 2.30 6.53 11.88 1.17 2.69 0.63 1.12 -0.23 -0.06 0.81 1.30 -0.08 0.14 
1.058637 5.14 10.20 3.20 5.30 5.51 11.42 3.37 5.66 0.52 0.87 -0.29 -0.09 0.73 1.08 -0.12 0.10 
4.582302 6.10 11.65 1.87 4.14 6.67 12.67 2.24 4.56 0.64 1.09 -0.30 -0.16 0.81 1.25 -0.15 0.05 
1.029365 4.90 9.77 3.27 5.26 5.27 11.03 3.38 5.65 0.51 0.84 -0.29 -0.09 0.72 1.06 -0.13 0.10 
1.550540 5.25 10.34 2.68 4.67 5.79 11.79 3.17 5.43 0.54 0.92 -0.29 -0.10 0.76 1.09 -0.12 0.11 
0.541940 6.40 12.68 4.19 7.44 6.82 13.90 4.43 7.85 0.58 0.98 -0.27 -0.05 0.78 1.18 -0.11 0.15 
2.113997 7.06 14.18 6.58 11.16 7.39 15.27 6.32 11.46 0.58 1.05 -0.26 -0.00 0.77 1.20 -0.07 0.19 
0.541272 6.38 12.65 4.17 7.41 6.88 13.97 4.44 7.92 0.58 0.98 -0.27 -0.05 0.77 1.17 -0.11 0.14 
0.784022 5.14 9.89 4.44 6.71 5.50 11.59 4.26 7.18 0.49 0.94 -0.25 -0.02 0.71 1.03 -0.11 0.15 
0.504675 6.19 12.19 4.04 7.02 6.68 13.51 4.30 7.53 0.57 0.96 -0.27 -0.06 0.76 1.16 -0.12 0.13 
2.131965 7.69 14.70 3.69 7.53 8.36 15.90 4.07 8.04 0.70 1.19 -0.28 -0.11 0.84 1.34 -0.14 0.09 
0.669121 6.44 12.60 3.79 6.85 7.03 14.07 4.23 7.55 0.59 1.01 -0.27 -0.07 0.80 1.19 -0.12 0.14 
0.500763 6.17 12.15 4.04 7.00 6.66 13.46 4.29 7.50 0.57 0.96 -0.27 -0.06 0.76 1.16 -0.12 0.13 
0.601248 6.20 12.22 3.77 6.72 6.71 13.51 4.07 7.25 0.58 0.98 -0.27 -0.06 0.77 1.17 -0.12 0.12 
0.635533 6.09 11.89 3.58 6.28 6.59 13.18 3.87 6.78 0.57 0.97 -0.26 -0.05 0.77 1.16 -0.11 0.14 
1.144200 6.64 13.16 5.13 8.76 7.08 14.43 5.25 9.22 0.57 0.96 -0.26 -0.01 0.77 1.20 -0.10 0.17 
0.443763 5.48 10.63 4.17 6.62 5.89 12.11 4.24 7.09 0.52 0.93 -0.27 -0.04 0.73 1.12 -0.11 0.13 
0.395231 5.88 11.54 4.25 7.02 6.32 12.86 4.40 7.48 0.55 0.91 -0.27 -0.05 0.74 1.14 -0.12 0.12 
0.380880 5.79 11.39 4.26 6.97 6.23 12.70 4.39 7.44 0.54 0.90 -0.28 -0.05 0.74 1.13 -0.12 0.12 
0.649708 5.16 10.06 3.89 6.09 5.57 11.48 3.95 6.54 0.51 0.92 -0.29 -0.08 0.71 1.10 -0.13 0.09 
0.380232 5.79 11.38 4.25 6.97 6.24 12.71 4.39 7.46 0.54 0.90 -0.28 -0.05 0.74 1.13 -0.12 0.12 
0.599677 6.32 12.46 4.95 8.24 6.76 13.72 5.05 8.70 0.56 0.93 -0.27 -0.03 0.75 1.18 -0.11 0.14 
0.384435 5.76 11.29 4.21 6.86 6.22 12.64 4.36 7.37 0.54 0.90 -0.28 -0.06 0.74 1.13 -0.12 0.12 
0.421723 6.02 11.82 4.21 7.07 6.54 13.25 4.46 7.67 0.56 0.93 -0.27 -0.06 0.75 1.14 -0.12 0.12 
0.377698 5.81 11.45 4.27 7.03 6.27 12.77 4.42 7.52 0.54 0.90 -0.28 -0.06 0.74 1.14 -0.12 0.12 
0.499825 5.89 11.52 3.86 6.49 6.38 12.86 4.09 7.00 0.55 0.93 -0.27 -0.05 0.75 1.13 -0.11 0.13 
0.372904 5.77 11.36 4.27 6.99 6.22 12.69 4.41 7.48 0.54 0.90 -0.28 -0.06 0.74 1.14 -0.12 0.12 
0.435976 5.25 10.16 4.23 6.55 5.67 11.71 4.23 7.05 0.51 0.94 -0.26 -0.04 0.71 1.09 -0.12 0.12 
0.386028 5.79 11.40 4.21 6.94 6.25 12.73 4.36 7.43 0.54 0.90 -0.28 -0.06 0.74 1.13 -0.12 0.12 
0.406889 5.99 11.81 4.30 7.20 6.47 13.15 4.49 7.72 0.56 0.93 -0.28 -0.06 0.75 1.15 -0.12 0.12 
0.652618 5.22 10.31 3.94 6.23 5.66 11.60 4.03 6.71 0.52 0.85 -0.29 -0.09 0.71 1.10 -0.13 0.09 
0.406947 6.05 11.93 4.61 7.63 6.50 13.22 4.73 8.11 0.55 0.92 -0.27 -0.05 0.74 1.16 -0.12 0.13 
0.373428 5.81 11.45 4.29 7.06 6.28 12.80 4.45 7.57 0.54 0.90 -0.28 -0.06 0.74 1.14 -0.12 0.12 
0.429194 5.91 11.61 4.12 6.87 6.40 12.96 4.32 7.39 0.55 0.92 -0.27 -0.05 0.75 1.14 -0.12 0.12 
0.378145 5.66 11.17 4.23 6.88 6.11 12.50 4.36 7.37 0.54 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.11 
0.367384 5.72 11.27 4.27 6.96 6.18 12.61 4.40 7.45 0.54 0.89 -0.28 -0.06 0.74 1.14 -0.12 0.12 
0.381259 5.58 10.88 4.26 6.84 6.02 12.33 4.35 7.33 0.53 0.95 -0.28 -0.05 0.73 1.13 -0.12 0.12 
0.367395 5.72 11.28 4.27 6.96 6.17 12.61 4.40 7.45 0.54 0.89 -0.28 -0.06 0.74 1.14 -0.12 0.12 
0.369584 5.76 11.35 4.27 7.00 6.21 12.68 4.41 7.50 0.54 0.90 -0.28 -0.06 0.74 1.14 -0.12 0.12 
0.369014 5.71 11.25 4.25 6.93 6.17 12.59 4.38 7.42 0.54 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.12 
0.359717 5.67 11.17 4.27 6.93 6.12 12.53 4.39 7.43 0.53 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.12 
0.371970 5.66 11.16 4.21 6.84 6.12 12.51 4.34 7.35 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.12 
0.356180 5.68 11.19 4.29 6.96 6.13 12.55 4.41 7.47 0.53 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.12 
0.348533 5.73 11.31 4.37 7.11 6.18 12.64 4.48 7.61 0.54 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.12 
0.342215 5.71 11.28 4.39 7.13 6.16 12.58 4.49 7.62 0.54 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.12 
0.341716 5.74 11.32 4.41 7.17 6.18 12.62 4.51 7.66 0.54 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.12 
0.339018 5.70 11.26 4.40 7.14 6.15 12.55 4.50 7.63 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.350961 5.66 11.08 4.46 7.18 6.10 12.45 4.52 7.67 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.338922 5.70 11.24 4.40 7.13 6.14 12.53 4.49 7.61 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.343558 5.73 11.31 4.40 7.15 6.17 12.60 4.49 7.63 0.54 0.89 -0.28 -0.06 0.73 1.14 -0.12 0.11 
0.338884 5.70 11.25 4.40 7.13 6.14 12.54 4.49 7.62 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.340449 5.69 11.23 4.38 7.10 6.13 12.52 4.47 7.59 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.338970 5.70 11.25 4.40 7.13 6.14 12.54 4.49 7.62 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.341308 5.73 11.31 4.41 7.17 6.17 12.59 4.50 7.65 0.54 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.12 
0.341415 5.67 11.19 4.37 7.07 6.11 12.48 4.46 7.55 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.342400 5.68 11.21 4.37 7.08 6.12 12.51 4.46 7.57 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.341674 5.71 11.27 4.40 7.13 6.15 12.57 4.49 7.62 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.12 
0.338553 5.70 11.26 4.41 7.14 6.14 12.54 4.50 7.63 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.332083 5.69 11.23 4.44 7.17 6.12 12.50 4.51 7.66 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.351633 5.68 11.12 4.47 7.21 6.11 12.48 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.356994 5.68 11.12 4.43 7.16 6.11 12.49 4.51 7.64 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.356633 5.68 11.13 4.44 7.17 6.12 12.49 4.51 7.65 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.332140 5.70 11.25 4.44 7.18 6.13 12.52 4.52 7.67 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.12 
0.332200 5.71 11.28 4.45 7.21 6.15 12.55 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.12 
0.357408 5.68 11.13 4.44 7.17 6.12 12.50 4.51 7.65 0.53 0.95 -0.28 -0.06 0.73 1.13 -0.12 0.12 
0.332095 5.71 11.27 4.45 7.21 6.14 12.53 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.331773 5.68 11.22 4.43 7.17 6.12 12.49 4.51 7.65 0.53 0.88 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.331817 5.69 11.24 4.44 7.18 6.13 12.51 4.52 7.67 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.331591 5.68 11.22 4.43 7.17 6.12 12.49 4.51 7.65 0.53 0.88 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.331578 5.68 11.22 4.43 7.17 6.12 12.49 4.51 7.65 0.53 0.88 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.331497 5.69 11.24 4.44 7.19 6.13 12.51 4.52 7.67 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.331506 5.69 11.24 4.44 7.19 6.13 12.51 4.52 7.67 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353556 5.68 11.13 4.46 7.20 6.12 12.48 4.53 7.68 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.331508 5.69 11.25 4.44 7.19 6.13 12.51 4.52 7.67 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.334791 5.70 11.26 4.43 7.17 6.14 12.52 4.51 7.65 0.53 0.89 -0.28 -0.06 0.73 1.13 -0.12 0.11 
0.331512 5.69 11.23 4.44 7.18 6.12 12.49 4.51 7.66 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353554 5.68 11.13 4.46 7.20 6.12 12.48 4.53 7.68 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329898 5.69 11.23 4.45 7.19 6.12 12.49 4.52 7.67 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353555 5.68 11.13 4.46 7.20 6.12 12.48 4.53 7.68 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329915 5.68 11.23 4.45 7.19 6.12 12.49 4.52 7.67 0.53 0.88 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353553 5.68 11.13 4.46 7.20 6.12 12.48 4.53 7.68 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329927 5.69 11.23 4.45 7.19 6.12 12.49 4.52 7.67 0.53 0.88 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353558 5.68 11.13 4.46 7.20 6.12 12.48 4.53 7.68 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.354987 5.68 11.13 4.45 7.18 6.12 12.49 4.52 7.66 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329862 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329842 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353479 5.69 11.15 4.46 7.21 6.13 12.50 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329851 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.330592 5.70 11.26 4.45 7.21 6.14 12.52 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329939 5.69 11.25 4.45 7.20 6.13 12.51 4.53 7.68 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353480 5.69 11.15 4.46 7.21 6.13 12.50 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.330055 5.69 11.25 4.45 7.20 6.13 12.51 4.53 7.68 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329843 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.330493 5.70 11.26 4.45 7.21 6.13 12.52 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329862 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.330212 5.70 11.26 4.46 7.21 6.13 12.52 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329839 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329051 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353469 5.69 11.15 4.46 7.22 6.13 12.50 4.54 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329060 5.70 11.25 4.46 7.22 6.13 12.51 4.53 7.70 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353469 5.69 11.15 4.46 7.21 6.13 12.50 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329052 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353467 5.69 11.15 4.46 7.21 6.13 12.50 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353820 5.69 11.15 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329049 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329233 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329052 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329112 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329049 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329095 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329051 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.329387 5.70 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328890 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328730 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353743 5.69 11.15 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353892 5.69 11.15 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328770 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353887 5.69 11.15 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328741 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328729 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.353901 5.69 11.15 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.95 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328728 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328747 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328727 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328763 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328739 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
0.328732 5.69 11.25 4.46 7.21 6.13 12.51 4.53 7.69 0.53 0.89 -0.28 -0.06 0.73 1.12 -0.12 0.11 
