Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
51.407113 14.90 23.91 0.58 7.13 13.86 24.51 0.93 7.58 1.62 2.51 0.01 0.25 1.81 2.23 0.16 0.42 
51.911633 14.96 24.02 0.64 7.25 13.93 24.62 1.02 7.73 1.62 2.51 0.02 0.25 1.81 2.22 0.16 0.42 
159.621382 18.53 27.25 0.78 8.68 16.17 26.66 1.12 9.08 1.55 2.94 0.25 0.62 2.16 2.45 0.40 0.75 
78.015570 21.25 38.64 12.57 27.54 20.56 39.18 12.73 27.52 1.36 2.23 -0.07 0.27 1.49 2.51 0.10 0.51 
124.868559 23.27 32.32 2.70 13.42 18.76 34.07 3.24 14.20 1.63 3.92 0.13 0.46 2.56 4.46 0.27 0.59 
50.910878 14.90 23.91 0.58 7.13 13.98 23.07 1.95 8.27 1.62 2.51 0.01 0.25 1.55 2.42 0.17 0.40 
51.930832 14.90 23.91 0.58 7.13 14.99 26.70 1.84 9.61 1.62 2.51 0.01 0.25 1.81 2.24 0.15 0.40 
51.122844 14.90 23.91 0.58 7.13 14.00 23.82 1.61 8.08 1.62 2.51 0.01 0.25 1.58 2.21 0.15 0.40 
54.037009 14.90 24.83 0.58 7.88 13.98 28.09 1.95 9.02 1.62 2.53 0.01 0.26 1.55 3.17 0.17 0.40 
52.727591 14.90 23.60 0.58 6.81 13.98 22.55 1.95 7.94 1.62 2.51 0.01 0.26 1.55 2.43 0.17 0.40 
50.952700 14.90 24.06 0.58 7.28 13.98 22.90 1.95 8.41 1.62 2.52 0.01 0.25 1.55 2.35 0.17 0.40 
17.385638 7.41 9.89 -3.78 -3.85 6.54 8.78 -2.50 -3.03 1.01 1.58 -0.25 -0.17 1.13 1.69 -0.08 0.01 
71.109172 -3.67 -10.12 -11.17 -21.12 -3.27 -11.58 -10.09 -20.65 0.34 0.65 -0.31 -0.28 0.60 0.83 -0.13 -0.12 
26.896882 7.17 9.78 -4.86 -5.15 6.26 8.99 -3.47 -4.04 1.23 1.78 -0.27 -0.23 1.15 1.94 -0.12 -0.05 
17.289996 7.42 9.93 -3.74 -3.79 6.53 8.77 -2.46 -2.95 1.01 1.57 -0.25 -0.18 1.12 1.68 -0.09 0.01 
13.945142 7.61 13.48 1.39 4.02 8.31 12.52 2.39 4.30 0.80 1.37 -0.34 -0.25 0.94 1.48 -0.16 -0.00 
12.986364 7.62 13.23 1.37 3.75 8.32 12.31 2.38 4.03 0.80 1.37 -0.34 -0.24 0.95 1.49 -0.16 -0.00 
29.830278 1.04 1.04 -1.05 -3.84 1.36 0.07 -0.48 -3.87 0.40 0.62 -0.41 -0.32 0.58 0.69 -0.17 -0.13 
12.177382 7.77 13.56 1.44 4.00 8.39 12.54 2.44 4.26 0.80 1.38 -0.33 -0.24 0.96 1.50 -0.16 0.01 
8.358787 9.40 16.56 2.59 6.49 9.30 14.09 3.26 6.12 0.88 1.51 -0.30 -0.19 1.01 1.61 -0.15 0.09 
8.396838 9.37 16.51 2.57 6.46 9.45 14.27 3.41 6.38 0.88 1.51 -0.30 -0.19 1.01 1.62 -0.14 0.10 
6.689007 10.86 19.24 3.67 8.82 11.27 16.98 4.84 9.09 0.95 1.61 -0.27 -0.13 1.09 1.77 -0.09 0.16 
6.710266 10.85 19.20 3.67 8.79 11.25 17.20 4.82 9.12 0.94 1.61 -0.27 -0.13 1.09 1.76 -0.09 0.14 
21.676063 15.95 28.14 7.37 16.90 15.73 26.53 8.57 17.18 1.17 1.90 -0.17 0.05 1.26 2.20 0.02 0.34 
15.832169 12.13 20.61 3.71 9.63 11.70 19.09 4.99 10.09 1.07 1.67 -0.33 -0.23 1.12 1.97 -0.17 0.04 
4.923757 8.11 14.37 2.77 5.86 9.53 13.04 3.85 5.81 0.77 1.33 -0.31 -0.15 0.88 1.51 -0.12 0.13 
