Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
1.040860 6.27 11.98 2.78 5.87 7.89 13.88 4.18 8.45 0.61 1.12 -0.28 -0.07 0.80 1.38 -0.13 0.12 
1.020056 6.33 12.10 2.83 5.98 7.96 14.01 4.25 8.58 0.61 1.12 -0.28 -0.06 0.80 1.38 -0.13 0.13 
49.100998 10.79 19.47 3.15 8.24 12.46 22.98 4.68 10.98 0.85 1.60 -0.00 0.33 1.01 1.95 0.15 0.51 
76.490230 7.53 12.62 10.81 14.10 8.43 15.16 8.85 16.42 0.54 1.27 -0.03 0.45 0.83 1.48 0.17 0.54 
29.426327 16.79 30.84 6.51 17.86 17.61 33.55 8.29 21.12 1.43 2.19 -0.17 0.01 1.45 2.70 -0.01 0.20 
1.052372 6.33 12.10 2.83 5.98 8.20 14.78 5.12 9.31 0.61 1.12 -0.28 -0.06 0.80 1.44 -0.08 0.13 
1.047208 6.33 12.10 2.83 5.98 8.11 14.56 4.26 8.80 0.61 1.12 -0.28 -0.06 0.72 1.34 -0.15 0.07 
1.010240 6.33 12.10 2.83 5.98 7.84 13.79 4.21 8.41 0.61 1.12 -0.28 -0.06 0.82 1.39 -0.12 0.14 
1.057203 6.33 11.44 2.83 7.03 7.84 13.49 4.21 9.46 0.61 1.18 -0.28 -0.07 0.82 1.38 -0.12 0.15 
1.171662 6.33 12.40 2.83 5.77 7.84 15.43 4.21 8.23 0.61 1.07 -0.28 -0.08 0.82 1.24 -0.12 0.12 
1.014492 6.33 12.07 2.83 6.04 7.84 14.42 4.21 8.46 0.61 1.11 -0.28 -0.05 0.82 1.40 -0.12 0.15 
70.532647 -1.90 -4.44 -7.74 -13.56 -0.30 -2.12 -6.18 -10.80 0.39 0.62 -0.43 -0.44 0.54 0.91 -0.27 -0.27 
8.491783 7.55 13.86 1.31 4.21 9.10 16.59 2.81 6.79 0.70 1.26 -0.15 0.08 0.84 1.56 0.01 0.28 
1.006392 6.34 12.13 2.85 6.01 7.86 13.82 4.23 8.45 0.61 1.12 -0.28 -0.06 0.82 1.39 -0.12 0.14 
21.380358 5.39 9.09 7.25 8.13 6.46 11.26 6.18 10.87 0.45 1.04 -0.22 0.21 0.71 1.26 -0.03 0.23 
1.008006 6.34 12.14 2.85 6.01 7.69 13.49 4.00 8.05 0.61 1.12 -0.28 -0.06 0.80 1.38 -0.12 0.13 
10.745573 12.56 23.94 5.31 13.44 13.82 25.36 6.92 16.21 1.00 1.74 -0.24 -0.05 1.16 2.15 -0.05 0.19 
0.997760 6.34 12.13 2.85 6.00 7.73 13.55 4.17 8.24 0.61 1.12 -0.28 -0.06 0.83 1.40 -0.11 0.16 
20.842949 2.43 4.49 -2.35 -3.45 3.87 5.97 -0.90 -1.01 0.51 0.89 -0.36 -0.27 0.71 1.16 -0.19 -0.06 
0.996257 6.34 12.13 2.85 6.00 7.70 13.48 4.16 8.18 0.61 1.12 -0.28 -0.06 0.83 1.40 -0.11 0.16 
7.800325 7.35 13.41 0.95 3.58 8.74 15.75 2.40 5.95 0.70 1.26 -0.16 0.07 0.87 1.57 0.02 0.29 
0.994310 6.35 12.13 2.85 5.75 7.71 13.56 4.16 7.93 0.61 1.10 -0.28 -0.06 0.83 1.42 -0.11 0.16 
10.096172 12.44 23.32 4.91 12.55 13.51 25.47 6.50 15.12 1.01 1.74 -0.24 -0.06 1.16 2.13 -0.04 0.20 
0.991981 6.35 11.90 2.86 5.80 7.71 13.43 4.17 7.97 0.61 1.11 -0.28 -0.06 0.83 1.42 -0.11 0.17 
20.441183 5.10 8.31 7.13 7.33 6.01 10.22 5.70 9.86 0.43 1.02 -0.23 0.21 0.70 1.24 -0.03 0.24 
0.994871 6.35 11.91 2.86 5.79 7.71 13.21 4.17 7.96 0.61 1.12 -0.28 -0.06 0.83 1.40 -0.11 0.17 
20.779396 2.24 3.90 -2.26 -3.63 3.63 5.48 -0.84 -1.27 0.50 0.88 -0.36 -0.27 0.70 1.15 -0.19 -0.05 
2.822543 6.85 12.77 1.93 4.68 8.19 14.56 3.33 6.95 0.65 1.19 -0.22 0.00 0.86 1.48 -0.05 0.23 
0.992308 6.36 11.92 2.87 5.82 7.72 13.44 4.18 7.99 0.61 1.12 -0.27 -0.06 0.83 1.42 -0.11 0.17 
4.132296 9.51 18.12 3.93 9.44 11.33 20.36 5.41 11.80 0.82 1.46 -0.26 -0.06 0.94 1.82 -0.07 0.19 
0.989306 6.34 11.90 2.86 5.80 7.78 13.54 4.27 8.12 0.61 1.11 -0.28 -0.06 0.83 1.42 -0.10 0.18 
6.263069 4.60 8.55 0.19 1.15 6.07 10.23 1.70 3.61 0.58 1.04 -0.31 -0.17 0.78 1.32 -0.14 0.07 
1.305896 5.93 10.74 3.87 6.70 7.24 12.58 5.05 8.87 0.56 1.08 -0.27 -0.01 0.78 1.37 -0.09 0.21 
0.988082 6.34 11.90 2.86 5.80 7.74 13.45 4.25 8.04 0.61 1.11 -0.28 -0.06 0.83 1.43 -0.10 0.18 
1.543350 6.50 12.23 2.58 5.43 7.88 13.79 4.00 7.69 0.62 1.13 -0.25 -0.02 0.85 1.45 -0.07 0.21 
0.988035 6.35 11.90 2.86 5.80 7.73 13.44 4.25 8.03 0.61 1.11 -0.28 -0.06 0.83 1.43 -0.10 0.18 
