Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
9.071049 0.09 -0.88 4.85 -1.31 0.24 -0.85 -0.31 -2.31 0.32 0.47 -0.10 -0.03 0.56 0.69 0.04 0.11 
8.968747 0.15 -0.76 4.90 -1.21 0.31 -0.77 -0.25 -2.20 0.33 0.47 -0.10 -0.03 0.57 0.68 0.04 0.11 
23.255571 5.74 9.31 7.73 7.59 6.20 8.84 4.13 6.80 0.42 0.76 0.15 0.21 0.62 0.99 0.12 0.36 
23.090255 -1.65 -3.77 5.55 -6.72 -1.38 -4.64 -1.76 -7.83 0.92 0.87 -0.05 0.06 0.68 1.01 0.01 0.11 
143.419622 15.34 29.03 16.90 27.95 15.17 29.27 14.44 27.47 0.84 1.69 -0.01 0.57 1.07 1.85 0.31 0.75 
9.108171 0.15 -0.76 4.90 -1.21 0.38 -1.33 -0.49 -2.06 0.33 0.47 -0.10 -0.03 0.55 0.51 0.08 0.17 
7.911699 0.15 -0.76 4.90 -1.21 0.75 0.29 0.80 -0.97 0.33 0.47 -0.10 -0.03 0.43 0.63 0.01 0.02 
8.002893 0.15 -0.76 4.90 -1.21 0.67 0.29 0.75 -1.17 0.33 0.47 -0.10 -0.03 0.48 0.63 -0.02 0.01 
7.993125 0.15 -0.00 4.90 -1.51 0.75 0.55 0.80 -1.29 0.33 0.48 -0.10 -0.02 0.43 0.58 0.01 0.03 
7.981375 0.15 -0.58 4.90 -0.81 0.75 0.63 0.80 -0.47 0.33 0.48 -0.10 -0.01 0.43 0.66 0.01 0.05 
9.762770 0.15 -0.85 4.90 -0.42 0.75 0.17 0.80 -0.22 0.33 0.47 -0.10 0.03 0.43 0.63 0.01 0.05 
358.226539 -18.46 -36.82 -9.23 -39.15 -18.01 -35.81 -15.26 -38.56 0.36 -0.33 -0.40 -0.91 0.46 -0.21 -0.46 -0.89 
